STRUCNUM,Common_EN_List,Number_of_common_elements
00372A01W 04729,"(16, 110, 205, 215, 220, 234, 306, 311, 331, 510)",10
00373 225 00101,"(16, 38, 110, 205, 215, 220, 234, 302, 306, 310, 311, 331, 510)",13
00392A063 00109,"(241,)",1
00398A058 00690,"(241,)",1
00399 058 00880,"(16, 110, 215, 231, 235, 306, 330, 510, 515)",9
003C32000000195,"(240, 515)",2
004066514001208,"(38, 215, 310, 330, 510, 515)",6
00406A021 00076,"(12, 109, 205, 215, 234, 302, 306, 310, 330, 331, 515, 521)",12
00409 003 00676,"(16, 38, 110, 116, 144, 155, 205, 210, 215, 234, 306, 311, 331, 510, 515)",15
00409B003 00682,"(12, 38, 109, 205, 215, 225, 234, 306, 310, 330, 331, 510, 515)",13
00416A01W 04489,"(12, 16, 109, 110, 155, 205, 215, 225, 234, 306, 310, 311, 331, 510)",14
00420A01W 07997,"(38, 210, 215, 306, 330, 331, 510, 515)",8
00432 01W 10558,"(16, 110, 210, 215, 220, 306, 331, 510)",8
00439B033 00559,"(241,)",1
00441 01W 03499,"(16, 38, 110, 116, 120, 152, 155, 162, 205, 215, 220, 234, 306, 311, 313, 331, 510, 515)",18
00441A01W 03504,"(16, 105, 110, 205, 215, 225, 234, 302, 306, 311, 331, 510, 515)",13
00444B045 05368,"(12, 109, 215, 306, 331)",5
00445A066 01095,"(16, 38, 105, 205, 210, 215, 234, 301, 302, 306, 310, 331, 510)",13
00447 006F23945,"(16, 110, 155, 205, 210, 215, 234, 306, 311, 330, 510, 515)",12
00449 006F25164,"(16, 110, 205, 215, 234, 306, 311, 330, 510, 515)",10
00449A006 24855,"(16, 38, 110, 205, 215, 220, 234, 306, 311, 331, 510)",11
00450 066 02460,"(16, 110, 205, 215, 234, 306, 310, 311, 331, 510)",10
00455A065600030,"(15, 38, 109, 210, 215, 225, 306, 310, 331, 510)",10
00463 365 00103,"(12, 109, 215, 306, 310, 330, 510, 515)",8
00464 000000059,"(16, 110, 155, 205, 215, 220, 234, 306, 311, 331, 510)",11
00474B054 00627,"(38, 215, 306, 330, 510, 515)",6
00475A054 00660,"(38, 215, 306, 330, 510, 515)",6
00476A054 00691,"(38, 215, 306, 310, 330, 510, 515)",7
00478B054 01210,"(38, 215, 225, 306, 310, 331, 510)",7
00479B054 01060,"(38, 215, 225, 306, 310, 331, 510)",7
00482B035 03876,"(38, 210, 215, 306, 310, 331, 510)",7
00491A043 00186,"(16, 110, 216, 219, 225, 228, 235, 306, 331, 510)",10
00492A01W 05789,"(16, 110, 205, 215, 220, 234, 306, 330, 331, 510)",10
00493 066 04571,"(241, 330, 515)",3
00498 292 00064,"(38, 144, 155, 205, 210, 215, 306, 311, 331, 510, 521)",11
005001005100009,"(16, 110, 155, 205, 331)",5
00505 009 06348,"(16, 110, 205, 215, 234, 306, 331, 510)",8
00511 000000000,"(12, 107, 113, 116, 120, 152, 155, 162, 205, 210, 220, 234, 301, 302, 304, 305, 311, 313, 330, 331, 510, 515)",22
00511A932600000,"(12, 110, 116, 155, 205, 215, 234, 301, 302, 306, 310, 311, 331, 510)",14
00511B932600000,"(12, 16, 107, 110, 113, 116, 152, 155, 202, 205, 215, 220, 234, 301, 302, 305, 311, 313, 331, 510, 515)",21
00523 292 00597,"(12, 110, 215, 330, 510, 515)",6
00524 292 00664,"(38, 144, 155, 215, 301, 311, 331, 510, 521)",9
00526A029 03471,"(16, 110, 113, 219, 225, 228, 231, 235, 306, 332, 510, 515)",12
00533B211 02546,"(12, 109, 210, 215, 220, 303, 310, 330, 510, 515)",10
00537B014 00632,"(38, 205, 215, 234, 306, 310, 330, 510, 515)",9
00546A005 25297,"(38, 215, 306, 310, 330, 510, 515)",7
00548A000 00000,"(16, 110, 205, 215, 220, 306, 331, 510)",8
00552A058 01066,"(16, 110, 219, 225, 228, 231, 306, 330, 510, 515)",10
00553A058 01072,"(16, 110, 216, 225, 228, 231, 235, 306, 330, 510, 515)",11
00555B009 08408,"(12, 109, 210, 215, 306, 310, 331)",7
00558A066 01261,"(38, 215, 225, 234, 306, 330, 510, 515)",8
00559B035 05317,"(16, 110, 205, 210, 215, 220, 225, 306, 331, 510)",10
00561A058 01119,"(16, 110, 216, 219, 225, 228, 231, 235, 306, 330, 510, 515)",12
00563A058 01176,"(16, 110, 219, 225, 228, 231, 235, 306, 330, 510, 515)",11
00564 058 01199,"(16, 110, 205, 216, 219, 220, 225, 228, 231, 306, 331, 510)",12
00565 058 01210,"(16, 110, 205, 219, 220, 225, 231, 306, 331, 510)",10
00566A058 01396,"(12, 110, 216, 219, 225, 228, 231, 235, 306, 331, 510)",11
00571A019 11650,"(38, 215, 226, 234, 306, 331, 510)",7
00572A019 09823,"(38, 210, 215, 306, 330, 331, 510)",7
00574F009 04561,"(16, 104, 205, 215, 220, 303, 315, 331, 515)",9
00576 271Y00265,"(16, 31, 110, 116, 117, 144, 155, 156, 205, 215, 220, 234, 301, 306, 311, 331, 510)",17
00578A016 01355,"(12, 16, 109, 110, 215, 220, 306, 310, 330, 510, 515)",11
00580 01E 01787,"(16, 110, 205, 215, 225, 234, 306, 311, 330, 510, 515)",11
00583E058 02909,"(12, 38, 113, 120, 152, 162, 205, 215, 226, 234, 301, 306, 310, 313, 330, 510, 515)",17
00587C035 06761,"(16, 110, 205, 215, 220, 225, 301, 306, 331, 510, 521)",11
00588C035 06397,"(16, 110, 205, 215, 220, 225, 306, 331, 510)",9
00589A005 25188,"(38, 215, 306, 310, 330, 510, 515)",7
00598D244 01678,"(12, 28, 107, 109, 205, 215, 220, 225, 234, 304, 306, 310, 311, 313, 330, 515)",16
00599B007 24655,"(12, 109, 210, 215, 306, 310, 331, 521)",8
00611 052 03652,"(16, 110, 215, 330, 510, 515)",6
00612 032 01857,"(16, 110, 155, 205, 215, 220, 234, 306, 311, 331, 510, 515)",12
00613C226 01575,"(16, 110, 205, 215, 220, 301, 306, 311, 330, 331, 510, 515)",12
00614A226 01379,"(16, 110, 205, 215, 220, 306, 330, 331, 515, 521)",10
00624A002 18260,"(12, 38, 110, 144, 155, 205, 215, 220, 234, 306, 311, 330, 510, 515, 521)",15
00626 006F25631,"(16, 38, 110, 116, 144, 155, 205, 215, 234, 306, 311, 331, 521)",13
00633A504 00470,"(12, 109, 210, 215, 306, 310, 331)",7
00636 000 00011,"(16, 110, 205, 215, 234, 304, 306, 311, 330, 510, 515)",11
00640A281 01822,"(12, 109, 205, 215, 234, 301, 306, 310, 331, 521)",10
00646A026 09749,"(16, 110, 205, 215, 234, 306, 330, 331, 510, 515)",10
00660A021 02342,"(38, 205, 215, 234, 306, 331, 510)",7
00661 113501579,"(12, 113, 120, 152, 162, 205, 215, 306, 311, 313, 330, 510, 515)",13
00670A052 01539,"(38, 215, 330, 510, 515)",5
00678 022 01981,"(16, 110, 215, 306, 330, 510, 515)",7
00681B022 00933,"(38, 210, 215, 306, 310, 331, 510)",7
00682A022 01462,"(16, 110, 205, 215, 220, 234, 306, 330, 331, 510, 515)",11
00683 033 02338,"(16, 38, 110, 117, 120, 152, 156, 162, 205, 219, 225, 228, 231, 234, 306, 310, 311, 313, 330, 331, 332, 510, 515)",23
00684B022 02000,"(12, 16, 109, 110, 205, 210, 215, 220, 301, 306, 310, 330, 331, 510, 515, 521)",16
00692 006F25137,"(38, 110, 215, 510)",4
00694A036 00673,"(12, 109, 215, 306, 330, 510, 515, 521)",8
006T1 000000000,"(12, 16, 38, 110, 215, 228, 306, 310, 330, 510, 515)",11
00704 B52201803,"(16, 110, 205, 215, 220, 234, 302, 306, 311, 331, 510)",11
00704A006 32340,"(12, 109, 205, 220, 234, 301, 310, 330, 331, 515)",10
00706 01W 08414,"(12, 16, 38, 110, 111, 113, 120, 152, 162, 202, 205, 216, 219, 220, 225, 228, 231, 234, 235, 306, 310, 311, 313, 330, 331, 510, 515)",27
00711 105 00478,"(12, 31, 38, 60, 104, 107, 111, 113, 120, 152, 162, 202, 205, 206, 210, 215, 216, 220, 225, 228, 231, 234, 235, 236, 305, 306, 310, 311, 313, 330, 331, 332, 510, 515)",34
00713719T900110,"(12, 38, 109, 155, 205, 215, 234, 304, 330, 515)",10
00714A009 04648,"(38, 215, 306, 310, 331, 510)",6
00718 006F25345,"(38, 120, 152, 162, 205, 215, 306, 311, 313, 510, 515)",11
00723A010 05992,"(12, 109, 210, 215, 306, 310, 331, 510)",8
00724A010 06319,"(38, 215, 306, 310, 330, 510, 515)",7
00725A010 06829,"(240, 515)",2
00728A229 03839,"(16, 110, 210, 215, 220, 306, 311, 330, 510, 515)",10
00729A229 03786,"(16, 110, 205, 215, 220, 306, 331, 510)",8
00730A229 03520,"(240, 515)",2
00731B455 02460,"(12, 109, 210, 215, 225, 303, 306, 310, 331, 521)",10
00736A102 09096,"(38, 215, 225, 228, 234, 306, 330, 510, 515)",9
00737A058 00446,"(38, 205, 215, 234, 306, 310, 330, 510, 515)",9
00738 058 00981,"(16, 110, 116, 155, 205, 215, 234, 306, 330, 331, 510, 515)",12
00744B029 01431,"(16, 110, 155, 205, 215, 220, 225, 228, 234, 302, 306, 311, 331, 510)",14
00745 039 02377,"(16, 110, 205, 215, 234, 301, 306, 311, 330, 510, 515)",11
00754B054 01087,"(38, 215, 306, 310, 331, 510)",6
00762 009 28211,"(16, 38, 110, 205, 215, 234, 306, 331, 510)",9
00765A019 12120,"(38, 215, 306, 330, 510, 515)",6
00771 027 05842,"(16, 38, 110, 205, 215, 220, 225, 228, 234, 306, 311, 330, 510, 515)",14
00773A033 03996,"(38, 205, 215, 234, 306, 330, 510, 515)",8
00776A052 04547,"(12, 110, 205, 215, 330, 510)",6
00777A052 04556,"(38, 210, 215, 306, 330, 510)",6
00778A052 04599,"(16, 38, 110, 205, 215, 220, 234, 301, 306, 310, 330, 510, 515)",13
00781 041 02451,"(38, 215, 306, 330, 331, 510, 515)",7
00795A005 01916,"(38, 215, 306, 310, 330, 510, 515)",7
007C15101000024,"(38, 215, 226, 234, 306, 310, 330, 510, 515)",9
00800A010 01919,"(16, 110, 205, 215, 228, 306, 311, 331, 510, 515)",10
00803A010 01997,"(38, 215, 306, 310, 330, 510, 515)",7
00805C035 07252,"(16, 31, 110, 117, 152, 205, 215, 220, 306, 331, 332, 515)",12
00806A015 09300,"(16, 38, 109, 205, 210, 215, 220, 306, 310, 330, 510, 515)",12
00808A035 06200,"(38, 215, 306, 310, 331, 510)",6
00809A035 06566,"(38, 215, 306, 310, 331, 510)",6
00810A029 02532,"(12, 109, 215, 226, 234, 306, 310, 330, 510, 515)",10
00813 509 00174,"(16, 110, 210, 215, 220, 306, 331, 510)",8
00817 042 01962,"(38, 210, 215, 220, 235, 306, 330, 331, 510, 515)",10
00818A066 01565,"(16, 110, 215, 306, 330, 510, 515)",7
00823 125 01601,"(38, 110, 155, 205, 215, 220, 234, 306, 510)",9
00827A01W 05633,"(16, 110, 205, 210, 215, 234, 306, 331, 510)",9
00830B022 02585,"(12, 109, 210, 215, 220, 306, 310, 330, 331, 510, 515)",11
00836A010 01480,"(38, 215, 226, 234, 306, 330, 510, 515)",8
00839 234 01221,"(38, 144, 155, 205, 210, 215, 220, 234, 301, 306, 311, 331, 510)",13
00840 125 01950,"(38, 110, 205, 215, 220, 234, 306, 331, 510)",9
00841 125 02003,"(38, 110, 205, 215, 220, 234, 306, 331, 510)",9
00844A028 01744,"(16, 38, 110, 215, 331, 510)",6
00849A042X00043,"(12, 107, 113, 152, 161, 210, 215, 220, 311, 313, 330)",11
00851A181 02310,"(12, 16, 110, 113, 120, 152, 155, 162, 205, 215, 220, 234, 306, 311, 313, 330, 510, 515)",18
00852A181 02066,"(12, 16, 110, 113, 120, 152, 155, 162, 205, 215, 220, 234, 305, 306, 311, 313, 330, 510, 515)",19
00853A181 02410,"(16, 104, 110, 205, 215, 234, 306, 311, 313, 331, 510, 515)",12
00855A035 06180,"(38, 215, 306, 310, 331, 510)",6
00866B033 03934,"(16, 110, 155, 205, 215, 234, 306, 311, 331, 510)",10
00870 009 08868,"(16, 110, 215, 306, 330, 510, 515)",7
00871A01W 07148,"(16, 110, 215, 306, 330, 510, 515)",7
00872A01W 07157,"(16, 110, 215, 306, 330, 510, 515)",7
00877 009 07185,"(240, 515)",2
00883 046 01351,"(16, 38, 110, 215, 220, 306, 330, 510, 515)",9
00888A005 13436,"(12, 109, 210, 215, 302, 306, 310, 330, 331, 510, 515, 521)",12
00889A005 13124,"(12, 109, 210, 215, 302, 306, 310, 330, 331, 515, 521)",11
00893 182 00419,"(16, 110, 215, 306, 331, 510)",6
00894 182 00394,"(16, 110, 215, 306, 331, 510)",6
00895 182 00324,"(16, 110, 210, 215, 220, 306, 331, 510)",8
00896 182 00148,"(16, 110, 215, 220, 306, 331, 510)",7
008T3 000 00156,"(12, 16, 109, 215, 306, 310, 331, 510)",8
00901C009 29575,"(12, 109, 210, 215, 301, 306, 310, 330, 510, 515)",10
00902C009 29737,"(12, 109, 205, 215, 234, 302, 306, 310, 331)",9
00906A052 00394,"(38, 210, 215, 306, 310, 330, 510, 515)",8
00910A009 29038,"(16, 38, 109, 110, 215, 234, 306, 310, 330, 331, 510)",11
00912 009 28661,"(12, 16, 107, 110, 215, 306, 331, 510, 515)",9
009147133000131,"(12, 16, 107, 110, 161, 205, 215, 234, 300, 301, 306, 310, 311, 313, 331, 510, 515)",17
00917AB40700152,"(15, 109, 215, 225, 306, 330, 510, 515)",8
00920A050 02570,"(38, 210, 215, 220, 306, 331, 510)",7
00921 02W 07725,"(16, 110, 155, 205, 215, 234, 306, 311, 330, 510, 515)",11
00922A009 11488,"(16, 110, 116, 155, 205, 301, 330, 510, 515)",9
00924A009 11817,"(16, 110, 116, 155, 205, 210, 220, 306, 311, 330, 515)",11
00925A009 11927,"(16, 110, 116, 155, 205, 210, 220, 306, 330, 510, 515)",11
00928A009 29549,"(38, 215, 226, 234, 306, 330, 510, 515)",8
00931 033 02171,"(16, 110, 205, 216, 220, 231, 306, 331, 510)",9
00932 001300006,"(12, 16, 109, 110, 205, 215, 228, 234, 301, 306, 310, 312, 331, 510)",14
00933 027 03860,"(16, 110, 205, 215, 234, 306, 331, 510)",8
009359174200010,"(12, 109, 205, 215, 234, 301, 310, 331, 510)",9
009360174100032,"(12, 109, 205, 215, 234, 306, 310, 330, 331, 510)",10
00937A157 00225,"(16, 105, 205, 215, 220, 225, 234, 306, 331, 510)",10
00939A290 00765,"(38, 215, 306, 310, 330, 510, 515)",7
00943A051001710,"(38, 215, 310, 330, 510, 515)",6
00949A009 22321,"(12, 109, 152, 205, 215, 220, 234, 306, 310, 313, 331, 510, 515)",13
00949B009F22332,"(38, 215, 226, 234, 306, 310, 330, 510, 515)",9
00953A244 00305,"(38, 215, 226, 234, 306, 310, 330, 510, 515)",9
00957A022 09037,"(15, 104, 215, 306, 310, 331, 510)",7
00966 004 04587,"(12, 16, 110, 113, 120, 152, 155, 162, 205, 215, 234, 302, 311, 313, 331, 510, 515)",17
00971B004 09213,"(12, 109, 215, 306, 310, 330, 510, 515)",8
009781185600093,"(12, 38, 109, 210, 215, 306, 310, 330, 510, 515)",10
00982 009 19693,"(16, 110, 155, 205, 215, 234, 306, 331, 510)",9
00983 009 21227,"(12, 16, 107, 110, 205, 215, 220, 225, 228, 234, 301, 306, 311, 313, 330, 331, 510, 515)",18
00986A021 05010,"(12, 109, 205, 215, 220, 234, 300, 310, 330, 510, 515, 521)",12
00988A005 15233,"(12, 109, 210, 215, 302, 306, 310, 330, 331, 510, 515)",11
00989A005 14318,"(12, 109, 205, 210, 215, 306, 310, 330, 331, 510, 515)",11
00990A014 02867,"(30, 107, 215, 219, 220, 225, 306, 330, 510, 515)",10
00995 009F33833,"(16, 110, 205, 215, 234, 306, 311, 331, 510)",9
01000B455 02839,"(12, 109, 205, 215, 220, 234, 301, 302, 310, 311, 313, 330, 331, 510, 515)",15
01001A004 03285,"(16, 110, 205, 234, 306, 331, 510)",7
01008A027 04632,"(220, 240, 515)",3
01025D031 01044,"(12, 16, 109, 110, 113, 116, 120, 152, 155, 162, 205, 210, 215, 220, 234, 300, 301, 302, 310, 311, 313, 331, 510, 515)",24
01036A031 00703,"(12, 109, 205, 215, 234, 306, 310, 330, 510, 515)",10
01038A010 03364,"(12, 16, 109, 110, 205, 215, 220, 225, 234, 306, 310, 331, 510)",13
01041 005 15407,"(16, 110, 210, 215, 220, 306, 330, 510, 515)",9
01042 005 15189,"(38, 216, 219, 228, 306, 310, 330, 331, 510, 515)",10
01043A005 15054,"(38, 215, 306, 330, 510, 515)",6
01044 005 14825,"(16, 38, 110, 205, 215, 234, 306, 331, 510)",9
01046A005 14430,"(38, 215, 306, 330, 510, 515)",6
01051A009 04663,"(12, 109, 205, 215, 220, 234, 306, 310, 331)",9
01056A035 01957,"(12, 109, 215, 226, 234, 301, 302, 306, 310, 331, 521)",11
01058A244 01527,"(38, 215, 226, 234, 306, 310, 330, 510, 515)",9
01059A244 01508,"(38, 215, 226, 234, 306, 310, 330, 510, 515)",9
01064A008 01240,"(38, 215, 306, 310, 330, 510, 515)",7
01066A004 01446,"(38, 205, 210, 215, 306, 331, 510)",7
01069A000 00066,"(38, 215, 220, 306, 330, 510, 515)",7
01074A025 04024,"(16, 110, 205, 215, 306, 331, 510)",7
01075A033 04888,"(16, 110, 205, 215, 220, 228, 234, 306, 330, 331, 510, 515)",12
01081 140 00139,"(16, 110, 155, 205, 215, 220, 234, 306, 311, 331, 510)",11
01089 009F13003,"(16, 110, 144, 155, 205, 215, 234, 331)",8
010901068100000,"(38, 215, 306, 310, 330, 510, 515)",7
01091A087000181,"(12, 109, 210, 215, 225, 310, 330, 515)",8
01095 000 00371,"(16, 38, 110, 144, 155, 205, 210, 215, 220, 304, 306, 331, 510)",13
01097A244 00291,"(38, 215, 306, 310, 330, 510, 515)",7
01098A229 02951,"(16, 110, 216, 219, 228, 231, 306, 331, 510)",9
01099A229 02938,"(16, 110, 216, 219, 225, 228, 231, 306, 331, 510)",10
01103A005 04398,"(12, 109, 205, 215, 234, 302, 310, 330, 510, 515, 521)",11
01109B015 01143,"(12, 109, 215, 225, 234, 302, 306, 310, 330, 331, 510, 515, 521)",13
01113 009 17835,"(16, 110, 116, 144, 155, 205, 215, 220, 234, 301, 302, 306, 311, 331, 510, 515)",16
01114 009 17568,"(16, 110, 116, 155, 205, 215, 234, 306, 330, 331, 510, 515)",12
01118A025 04087,"(16, 110, 205, 215, 220, 234, 306, 331, 510)",9
011228100600038,"(31, 111, 216, 225, 228, 235, 332)",7
01122A012 04064,"(12, 113, 120, 152, 162, 205, 215, 302, 311, 313, 330, 510, 515)",13
01132F241 00051,"(12, 16, 28, 38, 60, 107, 110, 113, 120, 152, 155, 162, 202, 205, 215, 220, 225, 231, 234, 301, 302, 304, 306, 310, 311, 313, 330, 331, 510, 515)",30
01133A191 02307,"(38, 210, 215, 220, 306, 331, 510)",7
01134A004 14015,"(38, 210, 215, 306, 330, 510, 515)",7
01137B,"(16, 104, 205, 215, 225, 234, 306, 310, 331, 510)",10
01143D009 35798,"(16, 104, 205, 215, 300, 302, 310, 330, 331, 521)",10
01144 038 00219,"(16, 38, 110, 215, 220, 306, 331, 510)",8
01157A128 00505,"(12, 109, 215, 301, 306, 330, 515)",7
01162A016 01189,"(16, 110, 216, 225, 228, 231, 235, 306, 330, 510, 515)",11
01172 009 32764,"(16, 110, 116, 144, 155, 205, 210, 215, 220, 227, 234, 301, 306, 310, 331, 510)",16
01173D009 16473,"(12, 38, 109, 205, 215, 220, 234, 301, 302, 306, 310, 330, 331, 510)",14
01175 009 16646,"(16, 110, 205, 215, 306, 334, 510)",7
01180 009 17502,"(16, 38, 110, 116, 144, 155, 205, 215, 220, 234, 306, 315, 330, 331, 510, 515)",16
01181 009 17144,"(16, 38, 110, 116, 144, 155, 205, 215, 234, 301, 306, 311, 330, 331, 510, 515)",16
01182 009 16844,"(16, 38, 110, 116, 144, 155, 205, 215, 234, 301, 302, 330, 331, 510, 515)",15
01185A003 00400,"(15, 16, 38, 109, 110, 205, 215, 220, 225, 234, 306, 310, 311, 331, 510, 515)",16
01194A025 01928,"(12, 16, 107, 110, 215, 306, 330, 331, 510, 515)",10
01199A025 02457,"(16, 38, 110, 210, 215, 306, 330, 331, 510, 515)",10
011C80007700028,"(38, 215, 306, 310, 330, 510, 515)",7
01200A025 02680,"(16, 110, 215, 306, 330, 331, 510, 515)",8
01201A025 01815,"(16, 110, 215, 306, 330, 331, 510, 515)",8
01204 027 04303,"(16, 38, 110, 120, 152, 162, 205, 215, 220, 234, 306, 311, 313, 330, 331, 510, 515)",17
01205A033 04568,"(12, 16, 109, 110, 205, 215, 234, 306, 310, 311, 331, 510)",12
01206A033 04391,"(12, 109, 210, 215, 306, 310, 330, 331, 510)",9
01208740201 000,"(16, 110, 216, 228, 306, 330, 510, 515)",8
01211A039 00534,"(12, 16, 109, 110, 205, 215, 220, 234, 306, 310, 311, 330, 331, 510, 515)",15
01214 018 01148,"(12, 38, 109, 215, 220, 225, 228, 234, 235, 306, 310, 330, 510, 515)",14
01215 018 01136,"(12, 38, 109, 215, 220, 225, 228, 234, 235, 306, 310, 330, 510, 515)",14
01217 046 01776,"(16, 38, 110, 120, 152, 155, 162, 205, 215, 234, 301, 306, 310, 313, 330, 331, 515)",17
01223 015 00133,"(12, 16, 110, 113, 116, 120, 152, 155, 162, 205, 215, 220, 234, 301, 302, 304, 306, 311, 313, 331, 510, 515, 521)",23
01226A009 05699,"(12, 109, 215, 226, 234, 306, 310, 331)",8
01236A009 27380,"(38, 215, 306, 331, 510)",5
01241A049,"(12, 109, 210, 215, 220, 304, 306, 310, 331, 510)",10
01245B271 01601,"(12, 16, 109, 110, 113, 120, 152, 162, 205, 215, 234, 300, 301, 306, 310, 311, 313, 330, 510, 515, 521)",21
01250 191 01890,"(16, 30, 107, 110, 205, 219, 220, 225, 228, 231, 306, 331, 510, 515)",14
01251A191 02103,"(38, 210, 215, 306, 331, 510)",6
01253 180 01470,"(16, 110, 219, 225, 228, 231, 235, 306, 331, 332, 510, 515)",12
01254A063000488,"(12, 38, 110, 205, 215, 220, 226, 234, 301, 310, 330, 510, 515)",13
01259 027 05453,"(16, 110, 205, 215, 220, 225, 234, 306, 331, 510, 515)",11
01260A018 00000,"(16, 104, 215, 306, 310, 330, 510, 515)",8
01268A025 01286,"(16, 38, 110, 210, 215, 306, 330, 331, 510, 515)",10
01269A025 01417,"(16, 38, 110, 210, 215, 220, 306, 330, 331, 510, 515)",11
01270A025 01428,"(16, 38, 110, 210, 215, 220, 306, 330, 331, 510, 515)",11
01271A025 01432,"(16, 110, 215, 220, 306, 330, 331, 510, 515)",9
01305 009 01972,"(16, 110, 205, 215, 220, 228, 234, 306, 311, 331, 510)",11
01311B231 00382,"(12, 109, 205, 210, 215, 220, 234, 301, 306, 310, 331, 510)",12
01319 046 00650,"(38, 116, 144, 155, 205, 215, 234, 306, 311, 331, 510)",11
01323A015 04070,"(16, 105, 210, 215, 225, 302, 306, 312, 331, 510)",10
01324A015 02652,"(16, 38, 110, 155, 205, 215, 220, 234, 306, 310, 330, 331, 510, 515)",14
01327A307401786,"(16, 105, 205, 215, 234, 306, 331)",7
01330A016 03022,"(16, 105, 205, 215, 220, 225, 234, 306, 331, 510)",10
01331 229 01309,"(28, 38, 113, 120, 152, 162, 205, 215, 220, 301, 311, 313, 330, 510, 515)",15
01332A390000184,"(12, 16, 105, 109, 110, 205, 215, 225, 234, 306, 330)",11
01338A260 01672,"(38, 205, 215, 225, 234, 306, 331)",7
01339A401900025,"(38, 215, 226, 234, 306, 310, 330, 510, 515)",9
01344C039 02310,"(12, 109, 215, 306, 331, 510)",6
01345C131 00749,"(12, 16, 107, 110, 152, 215, 225, 228, 234, 235, 302, 306, 311, 313, 331, 510, 515)",17
01349 060 01136,"(16, 110, 155, 205, 215, 234, 306, 331, 510)",9
01352A160 01244,"(12, 109, 205, 215, 234, 302, 306, 310, 330, 331, 515, 521)",12
013563100900290,"(38, 215, 225, 234, 306, 330, 510, 515)",8
01370A307401517,"(12, 109, 205, 215, 234, 306, 310, 330, 510)",9
01371A046 01791,"(38, 215, 226, 234, 306, 310, 330, 510, 515)",9
01372A871 00007,"(38, 210, 215, 220, 225, 306, 310, 330, 510, 515)",10
