Number_of_elements,Element_Combination,Number_of_bridges,Bridge_numbers
10,"12, 109, 205, 215, 234, 302, 306, 310, 331, 510",6,"01781A006 33727, 01783A006 33899, 01786A006 34058, 08993 004 03552, 09067E227 00752, 09334 001C 7883"
7,"38, 215, 301, 306, 310, 331, 510",6,"18944 000 00036, 19611 000 00000, 20298 001C26010, 20407 000 00005, 21748C0348 0000, 24051 000 00119"
10,"12, 109, 205, 215, 234, 301, 306, 310, 331, 510",6,"02259C001 29097, 039C35622700004, 08746N001 01329, 09259A001 00532, 09460 069 00392, 09717 064 01376"
7,"38, 215, 220, 310, 330, 510, 515",6,"11630 000, 11759 000, 11823 000, 18449 000, 37C0343-1401900, 37C0532-1000300"
6,"30, 107, 202, 219, 510, 515",6,"01C216553 00511, 01C218550 00002, 01C220553 00471, 01C222553 00452, 01C224553 00378, 01C226553 00366"
7,"38, 215, 225, 306, 330, 510, 515",6,"04485 052 05567, 11811 000, 16066 071 02479, 671218110500000, 671219109900000, 67T010117600008"
9,"38, 215, 225, 234, 306, 310, 331, 510, 515",6,"01914A181 01287, 01972A181 01547, 02670A02W 02148, 04960A102 08622, 19263 110300010, 470260000 16969"
8,"31, 111, 216, 228, 235, 306, 332, 510",6,"25A54 C11600106, 25C10 C40900104, 25E27 C31200528, 47C09 024 00000, 47C10 024 00000, 47C18 054 00000"
6,"15, 109, 215, 306, 331, 510",6,"18630 000 00020, 19051 000 00000, 19640 752100087, 20089 000 00000, 20653 306900485, T19C04301801071"
8,"38, 215, 225, 228, 306, 330, 510, 515",6,"11511 000, 11512 000, 11541 009 00242, 11655 011 01632, 11747 000, 11802F000"
9,"38, 219, 228, 231, 306, 310, 330, 510, 515",6,"11987 020L00150, 12289A001300673, 12497 022200146, 12505 050400210, 12774 0302  239, 14008A000500448"
11,"12, 107, 210, 215, 225, 306, 311, 313, 330, 510, 515",6,"19C025  17  064, 19C110002900059, 19C132020001202, 19C204011000004, 19C239005200413, 19C268 48A  265"
9,"16, 110, 205, 215, 220, 306, 330, 510, 515",6,"01516 015 01306, 01688A045 01324, 08939 062 03240, 35C120065200010, 43C08 000 00000, 470232000"
11,"12, 109, 205, 215, 234, 301, 306, 310, 331, 510, 521",6,"08746S001 01329, 08851 001 02964, 08891S001 02242, 08941E006 32123, 09312A001F00095, 09543 02W 08643"
3,"38, 215, 332",5,"16193 183 00592, 16194 183 00562, 16195 183 00382, 16206 183 00454, 20470 000 00000"
2,"241, 510",5,"19638 000 00000, 23577 000 00038, 29C280797 00467, 63C89 772 00032, 63C90 772 00122"
6,"38, 215, 220, 306, 331, 510",5,"01422 191 02359, 03864A020 05662, 07327 580000085, 31C97 530, 59C064137500340"
4,"38, 215, 331, 510",5,"05203A006 18159, 06677A008 03075, 07032A002 00355, 08461A060 00021, 09280 061 00233"
7,"38, 215, 225, 310, 330, 510, 515",5,"11C105012200299, 11C64K018900016, 15760A081600155, 29C42 572 00087, 57C37 772 00115"
9,"16, 110, 210, 215, 220, 306, 330, 510, 515",5,"01041 005 15407, 03291 371 00227, 06424 037 00230, 23C482048 00043, 470618000 00000"
7,"16, 110, 205, 220, 306, 331, 510",5,"07881 857 00037, 12035A80401 699, 14509A000, 39C236246000868, 470445"
11,"12, 38, 215, 225, 234, 304, 306, 310, 330, 510, 515",5,"23058 000 00000, 23059 000 00000, 23060 000 00000, 23062 000 00000, 23064 000 00000"
8,"16, 110, 205, 215, 306, 331, 510, 521",5,"04847A341 03975, 07657 01E 02726, 07970 006C37145, 07C13 041700010, 08093B001C06613"
8,"12, 107, 215, 225, 306, 330, 510, 515",5,"19C053   7  027, 19C077007900069, 19C082008300107, 19C108006300009, 19C176002300743"
9,"16, 110, 205, 215, 306, 330, 331, 510, 515",5,"02676A037 03761, 07372 041 06254, 07486 041 06171, 07487 041 06322, 13491 039 00004"
9,"16, 104, 205, 215, 234, 306, 310, 331, 510",5,"07855C001 25995, 07855D001 25995, 19650 008 02031, 19837 000 00000, 20872 005 11945"
11,"38, 216, 219, 225, 228, 231, 306, 310, 330, 510, 515",5,"12266 000201286, 12323 021900158, 12617 033600054, 12619 074000008, 12724A000800122"
2,"241, 331",5,"03395A234 01524, 07493 009 22943, 07T17 000 00000, 18017 000000000, 47C201003500205"
8,"16, 110, 210, 215, 306, 330, 510, 515",5,"00361 164 00712, 01851A007 18275, 01852A007 18305, 03292 371 00290, 25B34 000"
10,"38, 205, 215, 225, 234, 306, 310, 330, 510, 515",5,"06610C244, 11C01 001A00087, 15501A51503 711, 17C59 333500050, 671279061300010"
9,"38, 216, 225, 228, 235, 306, 330, 510, 515",5,"03148 102 06421, 11773 000, 12540 043000023, 12947A646 00089, 671406C02902610"
7,"12, 109, 215, 306, 310, 330, 515",5,"21345 026 06588, 21354 000 00000, 22146 000 00012, 39C17A260000087, 39C521503500027"
8,"16, 105, 205, 215, 234, 301, 331, 510",5,"07668A001 12422, 07668B001C12424, 09738 064 00382, 09740 064 00208, 09740A064 00208"
8,"38, 205, 210, 215, 306, 330, 510, 515",5,"08324 777 00072, 09452 293 00310, 09659 028 11828, 09660 028 11855, 59C028105000876"
8,"12, 109, 205, 215, 234, 301, 310, 331",5,"20039 001 17224, 20276 858 00254, 20370 001 17676, 21365 058 00153, 21576 069 01276"
10,"16, 110, 216, 225, 228, 235, 306, 330, 510, 515",5,"08849 431 03140, 08850 431 03067, 11524 000, 11610F000, 11849 000"
8,"16, 110, 215, 306, 330, 331, 510, 515",5,"01200A025 02680, 01201A025 01815, 02180A007 18562, 04651 009 07664, 59C751130000592"
4,"38, 215, 306, 331",5,"17076 064C01628, 17077 064C01617, 18362 00000 000, 18363 00000 000, 19115 026 04260"
8,"16, 110, 215, 227, 234, 306, 331, 510",5,"04166 027 00055, 08227N001 23048, 08227S001 23048, 08232N001 22242, 08232S001 22242"
3,"241, 306, 510",5,"24047052000741, 33C17 582000398, 33C18 582000411, 35C166141900185, 530012530000010"
8,"12, 109, 210, 215, 306, 310, 331, 510",5,"00723A010 05992, 09322 114000270, 19C261  48  345, 39C523503600755, 39C615610400386"
7,"12, 109, 210, 215, 306, 310, 331",5,"00555B009 08408, 00633A504 00470, 17424 162 00890, 39C149173000001, 39C184147500000"
9,"38, 215, 225, 228, 234, 306, 330, 510, 515",5,"00736A102 09096, 11618 000, 11C147002000656, 47B007003200000, BB005 083800034"
9,"38, 210, 215, 220, 306, 310, 330, 510, 515",5,"039C49612000537, 11C36Y012300029, 39C228245800001, 39C553515500008, 41C01042901 028"
8,"12, 109, 215, 306, 310, 330, 510, 515",5,"00463 365 00103, 00971B004 09213, 16687 100000398, 16862 073 05751, 19C324 195  316"
8,"16, 110, 216, 228, 235, 306, 331, 510",5,"01557A417, 05552A735 00000, 11787F000, 13809A413400014, 17C34 E14 00225"
10,"12, 107, 210, 215, 225, 306, 311, 330, 510, 515",5,"19C066005000130, 19C105002400550, 19C114007500200, 19C175002300369, 19C179007700006"
10,"16, 110, 205, 215, 220, 234, 306, 330, 510, 515",5,"01471 226 00314, 02082A171 01390, 04278A211 00631, 07519 02W 06121, 07817 162 04289"
11,"12, 107, 210, 215, 220, 306, 311, 313, 330, 510, 515",5,"19B03 000 00000, 19C052002500206, 19C062000700515, 19C415021100013, 425010425000024"
8,"38, 216, 225, 228, 306, 330, 510, 515",5,"12003 10102 386, 12575A040200101, 12647 040800005, 12717 033300070, 12797A065300088"
7,"15, 109, 215, 306, 330, 510, 515",5,"16693 106200005, 17444 449 00456, 18762 305500025, 19730 041800175, 19853 105600010"
8,"31, 111, 216, 228, 235, 330, 510, 515",5,"35C211090400090, 41C24 200010065, 671220129900000, 671381000800001, 671382C17700110"
6,"31, 111, 216, 228, 332, 510",5,"21566 000 00000, 25A09 C14000786, 25A10 C14000794, 25A11 C13801520, 25E28 C31300489"
5,"38, 219, 310, 330, 515",5,"01C18A672 00413, 16801 C57500007, 18484 000 01220, 20780 000 00009, 21C02 521 00001"
5,"38, 219, 225, 310, 331",5,"20891 000 00000, 20964 000 00000, 21004 000 00000, 24064 000 00875, 57C80 664 00060"
10,"16, 110, 215, 226, 234, 306, 310, 311, 331, 510",4,"08235N001 22004, 08235S001 22004, 08236N001 21879, 08236S001 21879"
8,"38, 210, 215, 225, 306, 330, 510, 515",4,"11237 140400096, 14814A8T3 00084, 15566A088500031, 15627A067500146"
9,"16, 110, 215, 226, 234, 306, 331, 510, 521",4,"08239N001 21739, 08239S001 21739, 08241N001 21697, 08241S001 21697"
1,240,4,"01755O229 05090, 18400 000000000, 21273 000000000, BC001 000000000"
5,"38, 215, 306, 310, 331",4,"18959 90102 020, 23842 000 00980, 24248 621 00325, 47B010000000000"
8,"16, 109, 210, 215, 306, 310, 331, 510",4,"19C092  95  008, 19C476   1 2348, 20056 803 02301, 39C454439003758"
7,"31, 111, 216, 228, 306, 332, 510",4,"23B007000000000, 23B008000000000, 25A18 C13800060, 25A46 C12900203"
7,"12, 107, 215, 306, 310, 331, 515",4,"18724 000 00000, 19025 000 00000, 19C101017800113, 20873 028 06381"
7,"38, 218, 306, 312, 330, 510, 515",4,"21334 000 00031, 21478 000 00065, 21651 000 00260, 22704 000 00000"
9,"31, 111, 210, 215, 220, 306, 330, 510, 515",4,"13599 014 00288, 17C06 B08 00050, 17C19 C37 00001, 17C32 D57 00100"
8,"30, 107, 215, 219, 306, 330, 510, 515",4,"59C192100000820, 59C223120100135, 59C398067500119, 59C552073100041"
6,"16, 109, 215, 330, 510, 515",4,"09227A058701692, 10816A028 00115, 16362 980 00033, 23C041004 00740"
10,"12, 109, 205, 215, 234, 301, 306, 310, 331, 521",4,"00640A281 01822, 09348 001C 8614, 09351 001C 8329, 20583 045 03876"
7,"38, 215, 220, 306, 310, 331, 510",4,"20356 045 00266, 23273 730 01317, 23973 000 00000, 33C30 201000267"
9,"12, 109, 215, 300, 306, 314, 331, 515, 521",4,"18047 033 02520, 18052 033 02670, 18053 033 02682, 18054 033 02710"
8,"31, 111, 215, 216, 306, 330, 510, 515",4,"14199 262 00120, 16C91 124 00534, 31C26 673000265, 31C61 000"
5,"38, 215, 306, 332, 510",4,"21060 000 00000, 29C105708 00086, 29C242965 00075, 40032 000"
12,"12, 107, 205, 215, 220, 225, 234, 306, 311, 330, 510, 515",4,"19C015001901646, 19C048003400241, 19C104002400712, 19C417025000017"
9,"38, 210, 215, 225, 306, 310, 330, 510, 515",4,"09996 072900050, 16375 110000352, 16734 000000000, 18044 408700001"
7,"38, 215, 301, 310, 331, 510, 521",4,"20240 001 13860, 20395 018 00271, 20559 001 03873, 20717 001 11035"
7,"12, 109, 215, 301, 310, 331, 521",4,"20040 001 17424, 20041 001 17424, 20571 001C12922, 21715 022I00349"
10,"16, 110, 205, 215, 220, 234, 306, 311, 331, 510",4,"00372A01W 04729, 01534 034, 33C04A240000450, 509005509000052"
10,"12, 109, 205, 215, 234, 306, 310, 331, 510, 521",4,"07292A006 28584, 08248 001 20906, 08821 022 00047, 08944 002C12331"
9,"16, 105, 205, 215, 234, 302, 311, 331, 521",4,"09249 061C00113, 09249T061 00197, 09251 061C00189, 09254C047 07397"
6,"12, 107, 215, 306, 331, 515",4,"20255 341 04701, 21357 02W 09469, 21563 074200020, 222253060 00040"
10,"38, 219, 225, 228, 231, 306, 310, 332, 510, 515",4,"53C024000300025, 53C056651300015, 53C099084900097, 53C116095700083"
8,"38, 210, 215, 220, 306, 330, 510, 515",4,"15453AD06 00003, 16372 D16 00050, 17C07 B11 00140, 39C634623100001"
1,243,4,"04079A062 03740, 19185 000 00000, 59C562073100003, 671229014400280"
11,"12, 109, 205, 215, 234, 306, 310, 330, 331, 510, 515",4,"08172 001 19915, 08186 001 19349, 08443 001 19198, 09187 025 02078"
9,"12, 109, 205, 215, 234, 306, 310, 330, 515",4,"08173B001 19839, 15455A302 00010, 15508A501 00569, 20848 102 04370"
9,"38, 219, 225, 228, 231, 306, 310, 332, 510",4,"12338 020600148, 12385 022300037, 12794 065200054, 12796 065200141"
11,"12, 107, 205, 215, 220, 234, 306, 313, 330, 510, 515",4,"19C039001800882, 19C040001800920, 19C042  18 1060, 19C236000602374"
6,"12, 109, 215, 306, 331, 521",4,"07089A002 01303, 07498A002 01339, 18144 181 01237, 19915 007 21342"
11,"31, 111, 216, 225, 228, 231, 235, 306, 330, 510, 515",4,"671203186200000, 671232096300090, 671284015900140, 671302059800240"
10,"16, 110, 155, 205, 215, 220, 234, 306, 331, 510",4,"01403 229 01055, 01433A622000637, 07567B001 15603, 470249"
9,"16, 110, 203, 205, 215, 306, 311, 334, 510",4,"01951 009 04086, 01952 009 04078, 01954A 009 4066, 01955 009 04058"
6,"54, 215, 306, 330, 510, 515",4,"13C22 210 00095, 13C23 211 00140, 19190 201900045, 65C38 159 00421"
7,"16, 105, 205, 215, 234, 306, 331",4,"01327A307401786, 02074 103 00525, 09276 061 00245, 470414000"
7,"38, 219, 225, 306, 330, 510, 515",4,"04784A334 01133, 20474 050500091, 21389 557 00526, 22628 000 00000"
9,"38, 205, 215, 234, 306, 330, 331, 510, 515",4,"01949 01E 00597, 04347A007 20328, 08048 006 24894, 09590 022 00057"
9,"12, 109, 210, 215, 306, 310, 331, 510, 521",4,"07935A006 37407, 07935B006 37408, 09521 006 20896, 09521A006 20894"
9,"38, 216, 219, 228, 306, 310, 330, 510, 515",4,"11919 073000347, 12327 022100002, 12328 000300438, 12436 052100557"
9,"16, 38, 110, 215, 220, 306, 330, 510, 515",4,"00883 046 01351, 04445 140 04468, 53C120959900054, 59C292127500430"
10,"38, 210, 215, 220, 225, 306, 310, 330, 510, 515",4,"01372A871 00007, 11C27N014800372, 13650B306400100, 15C19 124 00166"
11,"15, 104, 155, 215, 300, 301, 306, 314, 330, 510, 515",4,"17327 004 13620, 17328 004 13643, 17330 004 13710, 17331 004 13728"
8,"38, 215, 227, 234, 306, 330, 510, 515",4,"04642A009 06845, 04643A009 06867, 07181 009 07118, 07224 009 06636"
8,"38, 215, 225, 228, 234, 306, 331, 510",4,"04042 200 00706, 04590A191 01056, 07481 009 06207, 07615 01W 06201"
10,"16, 110, 205, 215, 234, 306, 330, 331, 515, 521",4,"08118 001 24213, 08130 001 23967, 08224 001 23191, 08228 001 23012"
11,"16, 110, 202, 216, 220, 225, 228, 235, 306, 331, 510",4,"05113A012 00000, 47C16 054 00000, 47C17 054 00000, 47C40 549"
8,"30, 107, 219, 225, 306, 330, 510, 515",4,"59C155087500001, 59C386082500638, 59C569085000024, 59C782144500005"
9,"38, 215, 225, 231, 306, 310, 330, 510, 515",4,"02118A456 00216, 03851A020 00977, 15149A533000605, 39C564523300002"
7,"16, 110, 205, 215, 234, 306, 331",4,"08023 001 10485, 08177 001 19674, 14096A000, 470608000"
10,"12, 107, 215, 225, 234, 302, 311, 313, 331, 515",4,"11037A140900000, 11039A140900000, 11040A140900000, 11041A140900000"
8,"12, 109, 205, 215, 234, 300, 310, 331",4,"18347 001 23822, 19630 724 00113, 21406 200 00660, 22009 039 05848"
9,"12, 109, 205, 215, 234, 302, 306, 310, 331",4,"00902C009 29737, 09153 01W 00129, 09386 171 00389, 671408206500000"
10,"16, 110, 205, 215, 225, 234, 306, 330, 510, 515",4,"02135A068 00967, 02138 01W 12142, 08322 01W 00526, 25T11 000 00193"
9,"38, 110, 205, 215, 220, 234, 306, 331, 510",4,"00840 125 01950, 00841 125 02003, 04543 125 02221, 07964 162 04033"
10,"12, 109, 205, 215, 234, 306, 310, 330, 510, 515",4,"01036A031 00703, 08471 162 00667, 09044 006 32743, 09044A006 32743"
10,"38, 215, 225, 234, 306, 310, 330, 331, 510, 515",4,"03383AB75 00005, 17140 035 01045, 17165 035 01059, 17923 419200052"
9,"38, 216, 228, 231, 306, 310, 330, 510, 515",4,"03523A442 00086, 03591A442 00311, 12444 023200276, 34167 003400167"
5,"16, 110, 205, 330, 515",4,"23C241 000 0040, 39C231246001175, 39C554516000096, 39C555516000136"
7,"31, 107, 215, 306, 330, 510, 515",4,"05C02 000   001, 33C01 130000254, 423005423000011, 65C37 156 00059"
6,"12, 109, 215, 220, 330, 515",4,"45C103082600019, 45C143069800372, 45C147053600258, 45C148053803076"
6,"38, 210, 215, 306, 330, 510",4,"00777A052 04556, 14069 060100028, 16110 083900033, 43C02 000"
11,"12, 107, 215, 225, 231, 306, 310, 313, 330, 510, 515",4,"19C070002200424, 19C071002200505, 19C073002200679, 19C074002200764"
8,"12, 109, 215, 302, 306, 310, 331, 521",4,"19740 001 12049, 19741 001 12049, 20416 004 11933, 20666 160 01081"
9,"30, 107, 215, 304, 311, 313, 330, 510, 515",4,"18134 00059C363, 59C153089400397, 59C156089600072, 59C590085400240"
7,"38, 215, 226, 306, 310, 331, 510",4,"13645A305100003, 16376 069 00321, 43B002000000000, 43B005000000000"
6,"12, 109, 215, 301, 331, 521",3,"06083A009 00040, 20378 006 37218, 21305 001 15454"
10,"31, 111, 210, 215, 216, 235, 306, 330, 510, 515",3,"15451 129 00677, 31C11 630, 31C48 726 00039"
7,"38, 215, 226, 234, 306, 330, 515",3,"14965A240000780, 39C315315000101, 39C346350800227"
7,"38, 215, 226, 306, 330, 510, 515",3,"12682 066000089, 23B005000000000, 43B009000000000"
8,"12, 109, 215, 302, 310, 331, 510, 521",3,"02020A004 27995, 20051 041 06563, 20327 041 03744"
13,"12, 107, 205, 215, 220, 234, 301, 306, 311, 313, 330, 510, 515",3,"19C143 200 1647, 19C409002400887, 19C492  19  805"
7,"12, 109, 215, 301, 331, 510, 521",3,"07293A006 28619, 09801 006 28917, 09801A006 28917"
9,"12, 107, 215, 225, 231, 306, 330, 510, 515",3,"00004 000 00010, 06546 149 00161, 19C258012800104"
6,"12, 109, 215, 301, 331, 510",3,"19181 162 06278, 19183 162 06642, 29C197781 00249"
5,"31, 111, 206, 216, 510",3,"20849 133800300, 21689 133600099, 59C307132700225"
8,"38, 215, 226, 234, 306, 310, 333, 510",3,"15143B532000018, 15144B532000035, 15145B532000061"
9,"38, 215, 226, 234, 306, 330, 331, 510, 515",3,"09385 071 03101, 09457 144 00285, 16061 E20202266"
8,"38, 216, 225, 228, 235, 306, 331, 510",3,"09049 181 03062, 11594A204 01135, 11882 000"
11,"16, 110, 205, 215, 220, 234, 306, 311, 330, 510, 515",3,"01587A01W 10116, 05195A01W 00193, 07001 000 00033"
9,"12, 109, 205, 215, 220, 234, 306, 310, 331",3,"01051A009 04663, 16627 000 01262, 39C637624500437"
7,"30, 107, 215, 310, 330, 510, 515",3,"21009 000 00000, 21093 313 01791, 23845 000 00031"
10,"12, 109, 205, 215, 234, 300, 306, 310, 331, 510",3,"08522 026 03726, 08590Y001C30068, 09045 144 00207"
4,"241, 306, 331, 510",3,"33C19 582000435, 470620000 00000, 531520531500053"
8,"12, 15, 104, 215, 306, 310, 331, 510",3,"02008A01E 00443, 20565 611 00003, 21396 422 00457"
8,"16, 105, 205, 215, 234, 306, 331, 521",3,"08743 001 01477, 09278 061 00225, 09855 210 00763"
9,"12, 109, 205, 215, 234, 300, 310, 331, 510",3,"18408 002 07116, 29C781085901860, 29C782085901950"
9,"16, 110, 155, 205, 215, 234, 306, 331, 510",3,"00982 009 19693, 01349 060 01136, 07839 001 11344"
9,"38, 210, 219, 225, 306, 310, 330, 510, 515",3,"03756A270 00846, 03759A270 01220, 03760A270 01247"
8,"38, 210, 215, 306, 330, 331, 510, 515",3,"00420A01W 07997, 01986A035 07413, 02561 028 01527"
10,"38, 204, 215, 220, 234, 306, 310, 330, 510, 515",3,"01698A514000519, 12071A71401 069, 12137 61801 005"
10,"12, 109, 205, 215, 220, 234, 306, 310, 331, 510",3,"039C13244000039, 14100A000, 39C636624000758"
8,"16, 105, 205, 215, 306, 311, 331, 510",3,"08573 001 30253, 08574 001 30243, 08575Q001 30233"
7,"12, 109, 215, 301, 306, 331, 521",3,"19191 000 00000, 19749 000 00070, 20406 009 Z4752"
6,"38, 210, 215, 301, 330, 515",3,"18592 694 00082, 18593 694 00069, 18594 694 00059"
8,"38, 219, 225, 228, 306, 330, 510, 515",3,"11941A073800034, 71B001000000001, 73913 073900137"
9,"38, 215, 225, 226, 234, 306, 310, 331, 510",3,"03166B009 24181, 06514A009 24181, 15139B150000477"
7,"31, 111, 216, 228, 330, 510, 515",3,"14546 000, 25A03 C140 0707, 25A74 C10800315"
6,"38, 215, 225, 306, 331, 510",3,"04788 334 01460, 23841 000 00880, 363110363100108"
9,"12, 109, 205, 215, 234, 301, 306, 310, 331",3,"20585 045 03997, 33C15 556000479, 33C35 139000032"
7,"12, 109, 215, 300, 301, 310, 331",3,"18444 858 00096, 19969 000000000, 20487 001 18834"
9,"38, 215, 226, 234, 301, 310, 330, 510, 515",3,"11783 000, 16281 031 00200, 671310A15200170"
8,"30, 107, 152, 215, 313, 330, 510, 515",3,"63C04 507 00351, 63C14 515 00533, 63C72 000X00062"
11,"31, 111, 206, 215, 216, 220, 235, 306, 330, 510, 515",3,"31C29 676 00020, 31C38 690 00001, 31C83 000"
9,"12, 107, 202, 215, 301, 311, 330, 515, 521",3,"09422 006 18724, 09539 006C17798, 09577 320 04007"
7,"38, 219, 225, 228, 306, 332, 510",3,"12718 033300137, 53C031001700010, 53C066661100415"
9,"12, 109, 205, 215, 234, 300, 306, 310, 331",3,"19098 000 00000, 19613 190000724, 20556 000 00759"
9,"16, 109, 215, 225, 306, 310, 330, 510, 515",3,"11201A150400137, 11C43A003200160, 14966A240000978"
9,"16, 110, 205, 215, 234, 301, 306, 331, 510",3,"07864A001 17384, 07865A001 17340, 51C33 000 00001"
9,"12, 107, 205, 215, 234, 300, 310, 331, 515",3,"20855 002 03898, 22246 000 00805, 23937 038800108"
10,"12, 109, 205, 215, 234, 302, 310, 331, 510, 521",3,"08891N001 02242, 09215 035 04315, 09475 006 32624"
9,"12, 109, 205, 215, 234, 301, 310, 330, 515",3,"17985 000000000, 20121 859 00450, 22002 039 05606"
7,"16, 110, 210, 215, 306, 331, 510",3,"07030A000000015, 08563 040 00655, 39C578508400490"
6,"38, 205, 215, 234, 306, 331",3,"06080A000000000, 07400A01EX00575, 27C35 605 00352"
11,"12, 13, 104, 215, 225, 234, 306, 311, 330, 510, 515",3,"21568 018 05623, 21569 018 05629, 21570 018 05632"
12,"16, 110, 205, 215, 234, 301, 306, 311, 330, 331, 510, 515",3,"03173B035 00534, 07115 01WX00106, 08542 001C03275"
10,"12, 109, 205, 215, 234, 301, 310, 331, 510, 521",3,"08890N001 02307, 08890S001 02307, 09475A006 32624"
9,"15, 16, 104, 215, 306, 310, 330, 510, 515",3,"21472 514 00198, 22348 000 00000, 59C190100000686"
6,"16, 109, 215, 306, 331, 510",3,"18029 020500002, 20134 000 00038, 22544 38 285"
9,"16, 110, 205, 215, 228, 234, 306, 331, 510",3,"08688 039 04479, 08980 833 00645, 12152A53801 295"
8,"54, 216, 228, 235, 306, 330, 510, 515",3,"05109 012 00000, 14412 000 00100, 14442 000 00090"
8,"16, 109, 215, 225, 306, 330, 510, 515",3,"06C42A003200439, 11C152001900480, 11C67J008900251"
8,"16, 110, 205, 215, 225, 306, 331, 510",3,"03172A035 00414, 07366 030C02562, 08452 021 00883"
5,"38, 215, 330, 510, 515",3,"00670A052 01539, 16107 786 00384, 16544 000 00000"
8,"38, 216, 228, 235, 306, 330, 510, 515",3,"01C09A705 00036, 11C112007A00275, 12651A070700162"
7,"38, 110, 210, 215, 306, 331, 510",3,"25B17 000, 25B18 000, 53C107859900222"
9,"16, 110, 205, 215, 234, 306, 311, 331, 510",3,"00995 009F33833, 08575 001 30229, 11841 445 00043"
10,"16, 110, 116, 155, 205, 215, 220, 306, 331, 510",3,"01508 102 06227, 19C514 386  089, 39C183110500130"
9,"16, 104, 205, 215, 234, 300, 310, 331, 521",3,"20549 001 06145, 20550 001 06145, 20551 001 05578"
14,"12, 16, 107, 110, 205, 215, 234, 301, 306, 311, 313, 331, 510, 515",3,"06575 000 00012, 08876 035 02567, 08936 035 03010"
8,"16, 110, 205, 215, 306, 330, 510, 515",3,"03553A028 11020, 06205 028 09913, 19C467   1  326"
12,"12, 109, 205, 215, 234, 302, 306, 310, 330, 331, 515, 521",3,"00406A021 00076, 01352A160 01244, 02173A035 07602"
8,"16, 110, 205, 220, 234, 306, 331, 510",3,"04589A191 01011, 05440A779, 12951 831 00156"
9,"16, 110, 205, 234, 306, 330, 331, 510, 515",3,"04143A009 12519, 07686 037 04968, 08386 222 01219"
9,"16, 110, 205, 210, 215, 234, 306, 331, 510",3,"00827A01W 05633, 02466 005 17496, 33C08 390000657"
8,"16, 110, 205, 234, 306, 330, 510, 515",3,"02235 005 07903, 07073 016 01356, 671343063200837"
8,"16, 110, 205, 306, 330, 331, 510, 515",3,"03994A018 03076, 08002 774 00209, 08405 012 05391"
13,"12, 102, 113, 152, 161, 205, 215, 231, 303, 311, 314, 331, 515",3,"08958F061 00352, 08958G061 00352, 08958H061 00388"
5,"54, 215, 306, 332, 510",3,"14C70 210 00115, 47C54 657, 671349085500230"
8,"12, 109, 205, 215, 234, 302, 310, 331",3,"11C65I008500006, 22125 069 01276, 23324069AQ01069"
7,"12, 104, 215, 301, 310, 330, 515",3,"22355 000 00000, 24004 060 01083, 24006 060 01221"
6,"54, 216, 228, 330, 510, 515",3,"25E12 C302 0030, 25E13 C302 0045, 25E14 C302 0114"
7,"54, 216, 228, 306, 330, 510, 515",3,"12010   101 220, 14462 000 00250, 25E21 C310 0157"
8,"16, 110, 215, 228, 234, 306, 331, 510",3,"05511A632, 12124A533031111, 13686A306900219"
5,"12, 107, 215, 330, 515",3,"19676 512 00270, 45C107109000036, 45C116110100005"
8,"16, 110, 155, 205, 215, 306, 331, 510",3,"01690 027 00467, 39C212216200056, 671280001000450"
10,"16, 110, 219, 228, 231, 306, 310, 330, 510, 515",3,"06218 001 00180, 06228 009 00353, 12412 034600108"
4,"38, 215, 228, 331",3,"57C66 553 00013, 57C68 317300030, 57C69 317600020"
9,"12, 109, 205, 215, 234, 306, 310, 330, 510",3,"01370A307401517, 09500 066 03252, 53C043001500760"
4,"220, 240, 330, 515",3,"17C37 B33200050, 18813 00000 000, 47B009000000000"
6,"38, 215, 228, 306, 331, 510",3,"03190 009 27872, 04043 200 00714, 09464 932 00201"
7,"38, 215, 228, 234, 306, 331, 510",3,"03826 260 00566, 04267A210 00245, 08763 135 00130"
8,"12, 16, 110, 205, 306, 330, 510, 515",3,"39C259247000233, 39C261247000334, 39C548514200135"
5,"38, 215, 220, 310, 331",3,"20882 000 00000, 20886 000 00000, 20997 000 00000"
8,"38, 215, 228, 234, 306, 330, 510, 515",3,"12131A515041235, 57C01 563 01028, 57C10 504 00270"
7,"12, 109, 215, 306, 330, 515, 521",3,"01618A01E 01138, 03556A028 11362, 18283 015 10740"
6,"12, 109, 215, 306, 330, 515",3,"17211 000000000, 22314 045 01179, 39C546514200001"
9,"38, 215, 228, 234, 306, 310, 330, 510, 515",3,"09580 135 00276, 09C18 306900835, 57C12 564 00001"
5,"220, 241, 306, 331, 510",3,"47C203087400101, 47C205086500310, 47C206002200871"
8,"16, 109, 215, 301, 310, 330, 510, 515",3,"18084 C31325E33, 20478 927 00180, 20479 927 00303"
10,"16, 110, 219, 225, 228, 231, 306, 330, 510, 515",3,"00552A058 01066, 06661 001F23366, 12335 022400445"
17,"12, 16, 110, 113, 120, 152, 162, 205, 215, 220, 234, 306, 311, 313, 330, 510, 515",3,"01857A130 00755, 01859A130 00511, 08988 171 03877"
10,"12, 109, 205, 215, 234, 306, 310, 330, 331, 515",3,"08167 001 20344, 08170 001 20128, 17121 000 00000"
8,"16, 110, 216, 228, 235, 306, 332, 510",3,"11185A080900344, 12127A53301 173, 15C32 690 00010"
9,"38, 219, 225, 228, 231, 306, 310, 331, 510",3,"12222A001101143, 12287A001300696, 12634A041200061"
